Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",16. ქვეყანა სადაც ფიზიკურად იმყოფებით,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),ეროვნული გამოცდების ქულა უნარებში ,,GPA
5/13/2018 14:41:46,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-24,1-2 წელი,Full Stack Developer,Php,Laravel,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote,ინფორმაციული ტექნოლოგიები,160-240,1000-1500,,საქართველო,,,,
5/13/2018 14:53:37,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,9-12 წელი,Back End Developer,Php,Laravel,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,,,40-100,300-500,,საქართველო,,,,
5/13/2018 14:55:51,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,18-21,1-2 წელი,Back End Developer,Php,Laravel,Git,კი,არ ვიყენებთ,0-10,100-500,Both (Full time + Part Time),Remote and office,ფინანსები,100-160,2k-3k,,საქართველო,,,,
5/13/2018 14:56:40,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,4-6 წელი,sysadmin,,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,,,Full Time,Remote and office,ფინანსები,40-100,2k-3k,,საქართველო,,,,
5/13/2018 15:01:51,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,24-27,1-2 წელი,Front End Developer,Php,Laravel,Git,არა,არ ვიყენებთ,,,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,160-200,500-1000,,საქართველო,,,,
5/13/2018 15:03:08,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,18-21,არ მაქვს,Full Stack Developer,C#,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,2000-5000,500-1000,არ ვარ დასაქმებული,Remote and office,ინფორმაციული ტექნოლოგიები,160-240,500-1000,"1) სკოლებში უნდა დაიწყოს პროგრამირების საფუძვლების სწავლა.
2) ხშირად ჩატარდეს კონფერენციები დეველოპერების. სადაც ყველა ასაკის დეველოპერი ისაუბრებს ამ სფეროს შესახებ წარადგენს საკუთარ ნამუშევრებს. მთელი კონფერენცია დაეთმობა პროგრამირებას, არ აქვს აზრი ვები იქნება მობაილ თუ სისტემური პროგრამირება.
3) უნივერსიტეტებში უნდა მოხდეს სილაბუსების განახლება და მოძველებული ენების მაგივრად უნდა ისწავლებოდეს თანამედროვე ენები. 
4) უნდა დაიმსხვრეს ის სტერეოტიპი, რომ ""მათემატიკის გარდა პროგრამირებას ვერ ისწავლი"".
5) ყველა ქალაქში მცხოვრებ დეველოპერებს ჰქონდეთ საშუალება რომ საკუთარ ქალაქშივე დაიწყონ მუშაობა თუნდაც სტაჟიორად, რის გამოც მთელი ქვეყნიდან მხოლოდ თბილისში ჩადიან და  ყველა ამას ვერ ახერხებს, ამიტომ გამოცდილება 0.
6)ხშირად ჩატარდეს ჰაკათონები საქართველოს მასშტაბით ყველა ქალაქში.

",საქართველო,,,,
5/13/2018 15:07:11,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,4-6 წელი,Full Stack Developer,Javascript,Node.js,Git,არა,არ ვიყენებთ,10-100,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,240-300,1500-2000,,საქართველო,,,,
5/13/2018 15:08:16,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,15-18,2-4 წელი,Full Stack Developer,Php,Angular,Git,არა,Travis,10-100,10-20,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,160-200,300-500,სკოლებში უნდა დაინერგოს საგნად,საქართველო,,,,
5/13/2018 15:09:24,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,4-6 წელი,Full Stack Developer,Python,Django,Git,კი,Jenkins,200-400,10-20,არ ვარ დასაქმებული,Remote,ფინანსები,0-40,1000-1500,"მეტი & ინტენსიური განათლების პროგრამა, რომელიც ორიენტირებული იქნება შედეგზე და არა ორგანიზატორის პიარზე",საქართველო,,,,
5/13/2018 15:12:58,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,12-15 წელი,Full Stack Developer,Javascript,Laravel,Git,კი,Jenkins,0-10,0-10,Both (Full time + Part Time),Remote and office,ფინანსები,300-400,10k-15k,,საქართველო,,,,
5/13/2018 15:17:55,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,21-24,2-4 წელი,Full Stack Developer,Javascript,Laravel,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,1500-2000,,საქართველო,,,,
5/13/2018 15:18:25,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,21-24,2-4 წელი,Back End Developer,C#,.Net,Git,კი,Jenkins,400-700,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,20k-30k,,,,,,
5/13/2018 15:18:57,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,C#,.Net Core,Git,არა,არ ვიყენებთ,,,Full Time,Remote and office,,40-100,2k-3k,მეტი ანაზღაურება,საქართველო,,,,
5/13/2018 15:21:03,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,21-24,1-2 წელი,Back End Developer,C#,.Net,Git,არა,არ ვიყენებთ,200-400,,Full Time,Remote and office,,,,,საქართველო,,,,
5/13/2018 15:23:30,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,21-24,არ მაქვს,Full Stack Developer,C#,.Net Core,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,240-300,0-300,"სასწავლო რეფორმა. უნივერსიტეტებში და სხვა სასწავლებლებში დაძველებული კადრები ახლი და მაღალ კვალიფიკაციის მქონე კადრბით უნდა შეიცვალონ, ასევე შესაცვლელია სასწავლო პროგრამები ისინი ძალიანაა დაძველებული. ქართულენოვანი ლიტერატურაა ძალიან მწირეა(საქართველოში ვერ იშოვი ნორმალურ წიგნს პროგრამირებაზე, თუ იშოვი ან ძველია, ან არ ვარგა, ან ბინძური კოდითაა სავსე რადგან დამწერი გაგებაში არაა დიზაინ პატერნი რას ნიშნავს), საჭიროა წიგნების თარგმნა რომლებიც უცხოელი პროფესიონალების მიერაა დაწერილი. ასევე საჭიროა ხელფასების გაზრდა რადგან ქართველ პროფესიონალებს ურჩევნიათ უცხოეთში იმუშავონ სადაც 10-ჯერ უფრო დიდი ხელფასია. შესაბამისად ქართველი კარგი დეველოპერების დიდი ნაწილი ქვეყანაში არ ჩერდება და ""კარგი რესურსი"" ეკარგება ქვეყანას.",საქართველო,,,,
5/13/2018 15:26:07,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,არ მაქვს,Front End Developer,Javascript,.Net,TFS,კი,Travis,0-10,0-10,არ ვარ დასაქმებული,Remote,გემბლინგი,0-40,500-1000,,საქართველო,,,,
5/13/2018 15:39:24,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,6-9 წელი,Full Stack Developer,Php,Self Designed,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,samsheneblo,160-200,1000-1500,"aris IT sfero sadac xelfasi sasaciloa, rogorc minimum girseuli xelfasi unda iyos",საქართველო,,,,
5/13/2018 15:42:52,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,24-27,2-4 წელი,Back End Developer,C#,.Net,Git,კი,Teamcity,0-10,0-10,Full Time,Remote and office,ფინანსები,160-200,1500-2000,,საქართველო,,,,
5/13/2018 16:02:51,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,6-9 წელი,Back End Developer,C#,.Net,Git,არა,არ ვიყენებთ,0-10,0-10,Part Time,Remote,ფინანსები,0-40,3k-4k,"სკოლიდანვე, ხარისხიანად მიდგომა ტექნიკურ საგნებს.",საქართველო,,,,
5/13/2018 16:17:40,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,9-12 წელი,Full Stack Developer,C#,.Net Core,TFS,კი,Teamcity,0-10,0-10,Full Time,Office,გემბლინგი,300-400,10k-15k,"ბევრი საჯარო ლექცია ჰაკათონი, ჯგუფების შექმნა  პროგრამირებაზე, უნივერსიტეტებში სწავლის ხარისხის გაზრდა",საქართველო,,,,
5/13/2018 16:25:53,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,9-12 წელი,Full Stack Developer,Php,Drupal,Git,არა,Jenkins,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,300-400,2k-3k,,საქართველო,,,,
5/13/2018 16:48:53,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Back End Developer,Php,Laravel,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-240,1500-2000,,საქართველო,,,,
5/13/2018 17:37:18,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-21,არ მაქვს,Back End Developer,C++,,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,0,0-300,studentebs unda mogvxedon... tavidanve 2 wlian gamocdilebas ro gvtxoven :(((,საქართველო,,,,
5/13/2018 17:40:28,მეგობრისგან,მდედრობითი,18-21,არ მაქვს,Front End Developer,C++,React,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,Office,ინფორმაციული ტექნოლოგიები,100-160,300-500,უფრო კვალიფიციური და მცოდნე ლექტორები უნდა იყვნენ სასწავლო დაწედებულებებში. უნდა იყოს კარგი წიგნები ქართულ ენაზე პროგრამირების სხვადასხვა ენების შესახებ,საქართველო,,,,
5/13/2018 17:56:14,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,24-27,არ მაქვს,Front End Developer,Javascript,,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,Remote and office,ინფორმაციული ტექნოლოგიები,0,0-300,,საქართველო,,,,
5/13/2018 18:34:36,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-21,1-2 წელი,Full Stack Developer,Php,Laravel,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,240-300,1000-1500,,საქართველო,,,,
5/13/2018 18:39:12,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,6-9 წელი,Full Stack Developer,Php,Laravel,Git,კი,Jenkins,10-100,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,40-100,3k-4k,,საქართველო,,,,
5/13/2018 19:32:07,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,2-4 წელი,Data Analysis,Python,SciPy,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,ფინანსები,100-160,1500-2000,"ბუმბო უნდა ავირჩიოთ პრეზიდენტად!
განათლების სამინისტროს ან სხვა სახელმწიფო ინსტიტუტებს არ უნდა ველოდოთ, ინტერნეტშიც საკმაო მასალაა ხელმისაწვდომი (თუნდაც პირატული) და ასევე თვითორგანიზებული მოხსენებებით წინ წავწიოთ ერთმანეთი (მაგალითად როგორც ტექნო-პარკში იკრიბებოდნენ Deep Learning-ით დაინტერესებულები)
უნდა ვისწრაფვოდეთ, რომ რეგიონში (რუსეთის გათვალისწინებით) რომელიმე მიმართულებაში მაინც გავხდეთ პირველები, როგორც ისრაელმა გააკეთა კიბერ უსაფრთხოებაზე (იხ. ვიდეო How Israel Rules The World Of Cyber Security, VICE on HBO, Full Episode)",საქართველო,,,,
5/13/2018 19:54:24,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,35-40,12-15 წელი,Full Stack Developer,Php,Laravel,Git,არა,,100-200,50-100,Freelancer,Remote,ინფორმაციული ტექნოლოგიები,100-160,5k-6k,learn english,საქართველო,,,,
5/13/2018 20:08:37,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-21,არ მაქვს,Mobile Apps Developer,Java,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,10-100,0-10,არ ვარ დასაქმებული,Remote,,0,0-300,,საქართველო,,,,
5/13/2018 20:15:55,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,21-24,6-9 წელი,Front End Developer,Javascript,React,Git,არა,Jenkins,200-400,20-50,Full Time,Remote,ფინანსები,160-200,10k-15k,,საქართველო,,,,
5/13/2018 20:20:22,მეგობრისგან,მამრობითი,18-21,2-4 წელი,Full Stack Developer,Javascript,React,Git,არა,არ ვიყენებთ,400-700,20-50,Full Time,Remote,ინფორმაციული ტექნოლოგიები,100-160,7k-10k,ამ სტატიის იდეები მომწონს და მგონი ავტორს სწორი მიმართულება აქვს არჩეული: https://medium.com/@safareli/meetup-4a8d78c31f6f,საქართველო,,,,
5/13/2018 20:23:10,IT ფორუმი,მდედრობითი,27-30,6-9 წელი,sysadmin,,,,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,160-240,10k-15k,,საქართველო,,,,
5/13/2018 20:34:41,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,4-6 წელი,Back End Developer,Php,Codeigniter,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,40-100,500-1000,გამოცდილება უნდა გაუზიარონ პროფესიონალებმა ,საქართველო,,,,
5/13/2018 21:14:59,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,1-2 წელი,Full Stack Developer,C#,.Net Core,Git,კი,Teamcity,10-100,10-20,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,2k-3k,,საქართველო,,,,
5/13/2018 22:39:42,IT ფორუმი,მამრობითი,21-24,0-1 წელი,,,,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Part Time,Remote,Online გაყიდვები,100-160,0-300,-,საქართველო,,,,
5/13/2018 22:54:00,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,4-6 წელი,devops,SQL,.Net,Bitbucket,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office,Material testing solutions,160-240,1500-2000,,Germany,,,,
5/13/2018 23:05:21,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,არ მაქვს,Full Stack Developer,Php,Angular,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,Remote,ინფორმაციული ტექნოლოგიები,400+,0-300,ძალიან სწარაფად უნდა ავითვისოთ და დავნეროთ უახლესი ტექნოლოგიები.,საქართველო,,,,
5/13/2018 23:22:21,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,არ მაქვს,Back End Developer,Php,Laravel,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office,ფინანსები,0,0-300,,საქართველო,,,,
5/13/2018 23:29:13,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,Javascript,React,Git,არა,Travis,0-10,0-10,Both (Full time + Part Time),Remote and office,ფინანსები,240-300,4k-5k,საჭიროა ცოდნის უკეთ გაზიარება,საქართველო,,,,
5/13/2018 23:58:04,,მამრობითი,27-30,4-6 წელი,netadmin,C#,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,0,0-300,,საქართველო,,,,
5/14/2018 4:53:28,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,1-2 წელი,Mobile Apps Developer,Java,,არ ვიყენებთ,კი,არ ვიყენებთ,10-100,0-10,Both (Full time + Part Time),Remote and office,,400+,2k-3k,"ვინც აქამდე მიაღწია პირად ტექნიკურ პროგრესს - ილაპარაკოს სხვადასხვა საინტერესო და ახალ თემებზე რაც მსოფლიოში ხდება. რადგან ჩვენთან მსგავსი ტექ ამბები ისევ ჩაკეტილ communityებში ვრცელდება.
რთულია არა-ტექ ადამიანი დააინტერესო და გააგებინო რამე ცვლილების მნიშვნელობაში და სიკარგე/სიცუდეში თუ საბაზისო და ""პოპულარული"" ამბებიც არაა ცნობილი IT ჯგუფებს გარეთ მყოფი ადამიანისთვის.
Peace.",საქართველო,,,,
5/14/2018 9:28:31,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,Php,Laravel,Git,კი,არ ვიყენებთ,100-200,10-20,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,160-240,1500-2000,მეტი ყურადღება უნდა მიექცეს სასწავლო დაწესებულებებში სწავლებას და სტუდენტების შემდგომ დასაქმებას.,საქართველო,,,,
5/14/2018 10:49:12,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,4-6 წელი,Full Stack Developer,TypeScript,.Net Core,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,გემბლინგი,100-160,3k-4k,,საქართველო,,,,
