Timestamp,Sex,Age,Experience,FromLeargningToJobTime,Category,CloudUsage,FirstLanguage,CurrentLanguage,MainFramework,SourceControl,HasTesters,CI,StackoverflowPoints,GithubStars,WorkType,JobType,WorkingLanguage,MainEmployerCategory,PhysicalLocation,AverageMonthlyRevenueInGel,CountryWithMostRevenue,CurrentJobSatisfaction,AverageMonthlyWorkHours,DeservedSalaryOpinion,GPA,EducationLevel,LaptopDesktop,OperatingSystem,RAM,Memory,InformationTechProgressActions,GainNewGenerationInterest,NextSurveyQuestion
12/8/2022 23:03:53,მამრობითი,24-26,6-9 წელი,0.5 წელი - 1 წელი,Full Stack Developer,Digital Ocean,Javascript,Javascript,React,Git,კი,Circle CI,100-200,20-50,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,15k-20k,ამერიკის შეერთებული შტატები,კი,100-160,15k-20k,2.5-3,დავამთავრე -  bachelor,Desktop კომპიუტერი,Macos,8 gb,120 gb,,,
12/8/2022 23:42:27,მამრობითი,21-23,2-4 წელი,0.5 წელი - 1 წელი,Front End Developer,AWS,Python,Javascript,React,Git,კი,Jenkins,10-100,10-20,Full Time,Hybrid (Office/Remote),ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,4k-5k,ამერიკის შეერთებული შტატები,კი,200-240,5k-6k,2.5-3,დავამთავრე -  bachelor,Desktop კომპიუტერი,Windows,16 gb,1 tb,,,
12/8/2022 23:48:17,მამრობითი,18-20,2-4 წელი,1.5 წელი - 2 წელი,Front End Developer,AWS,C++,არ უპასუხია,React,Git,არა,არ ვიყენებთ,არ მაქვს account,არ უპასუხია,Part Time,Office -  International Projects,ქართული,Travel,საქართველო,1500-1999,საქართველო,არა,40-100,1500-2000,3.7-3.8,ვსწავლობ/dropout -  bachelor,Desktop კომპიუტერი,Windows,8 gb,512 gb,მეტი ჯუნიორის დასაქმება-შესაბამისად მენტორებით,"მეტი ბანაკი, მეტი ლექცია, მეტი რესურსის მიწოდება",
12/8/2022 23:50:25,მამრობითი,30-34,6-9 წელი,1.5 წელი - 2 წელი,Front End Developer,AWS,C++,Javascript,Svelte,Git,არა,Vercel,1000-2000,100-500,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,15k-20k,დიდი ბრიტანეთი,არც ისე,160-200,20k-30k,3.9-3.99,ვსწავლობ/dropout - master,ლეპტოპი,Macos,16 gb,512 gb,"როგორც მე ვხედავ, მეტი მენტორშიპი და გამოცდილების გაზიარებაა საჭირო უკვე გამოცდილი დეველოპერებისგან","მგონი ისედაც ინტერესდებიან, უბრალოდ საჭიროა რომ ინფორმაცია კარგად მივაწოდოთ რომ არ აიბნენ",
12/8/2022 23:54:51,მამრობითი,24-26,4-6 წელი,4 წელი,Full Stack Developer,GCP,C,C#,.NET Core,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office - Local Projects,ქართული,სამთავრობო ორგანიზაცია,საქართველო,2k-3k,საქართველო,არა,160-200,5k-6k,3.7-3.8,ვსწავლობ/dropout - master,Desktop კომპიუტერი,Windows,16 gb,512 gb,,,
12/9/2022 10:17:09,მამრობითი,18-20,2-4 წელი,0 - 0.5 წელი,Full Stack Developer,AWS,Python,TypeScript,React,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,7k-10k,საქართველო,არა,100-160,20k-30k,2-2.5,მხოლოდ სკოლა,ლეპტოპი,Linux,32 gb,512 gb,დასაქმების ხელშეწყობა ახალგაზრდებში,"ბევრია ისედაც დაინტერესებული, დროის საკითხია, უფრო მეტი დაინტერესდება","შეამცირეთ ოდენობა, ძაან ბევრი კითხვა იყო, ვიღაცას მობეზრდება"
12/9/2022 10:42:10,მამრობითი,21-23,0-1 წელი,0.5 წელი - 1 წელი,DevOps Engineer,AWS,C++,არც ერთს,არც ერთს,Git,კი,Jenkins,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,300-499,საქართველო,კი,100-160,1500-2000,3-3.5,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,16 gb,512 gb,,,
12/9/2022 10:46:16,მამრობითი,21-23,0-1 წელი,0 - 0.5 წელი,Data Engineer,AZURE,Python,SQL,არც ერთს,Git,არა,Azure Devops,არ მაქვს account,არ მაქვს account,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,2k-3k,საქართველო,კი,100-160,4k-5k,2.5-3,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,16 gb,1 tb,ნაკლები გადასახადები - არამარტო ისტის მიმართულებით,"არ არის ამის საჭიროება, ისედაც დაინტერესებულები არიან",
12/9/2022 10:46:32,მამრობითი,18-20,1-2 წელი,0.5 წელი - 1 წელი,Back End Developer,AWS,Python,C#,.NET Core,Git,კი,Jenkins,10-100,0-10,არ ვარ დასაქმებული,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,1500-1999,საქართველო,კი,100-160,3k-4k,3-3.5,ვსწავლობ/dropout -  bachelor,Desktop კომპიუტერი,Windows,16 gb,256 gb,,,
12/9/2022 10:50:42,მამრობითი,18-20,0-1 წელი,0 - 0.5 წელი,Mobile Apps Developer,არ ვიყენებ,Python,Swift,არც ერთს,TFS,კი,არ ვიყენებთ,10-100,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,1500-1999,საქართველო,კი,160-200,1500-2000,2.5-3,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Macos,8 gb,256 gb,,,
12/9/2022 10:51:47,მდედრობითი,27-29,1-2 წელი,0.5 წელი - 1 წელი,QA Engineer,არ ვიყენებ,SQL,SQL,არც ერთს,Git,კი,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,არ ვარ დასაქმებული,Office -  International Projects,ქართული,ფინანსები,საქართველო,3k-4k,საქართველო,კი,160-200,4k-5k,3.5-3.7,დავამთავრე - master,ლეპტოპი,Windows,16 gb,256 gb,,,
12/9/2022 11:04:16,მამრობითი,27-29,9-12 წელი,0 - 0.5 წელი,Full Stack Developer,Digital Ocean,Java,PHP,Laravel,Git,კი,Jenkins,2000-5000,1000-3000,Full Time,Remote  - International Projects,ინგლისური,ფინანსები,საქართველო,10k-15k,ამერიკის შეერთებული შტატები,კი,100-160,15k-20k,2-2.5,დავამთავრე - master,ლეპტოპი,Macos,8 gb,512 gb,დაბალი საშემოსავლო გადასახადი IT სფეროში,ზოგადი განათლება მივცეთ და მერე თვითონ დაინტერესდებიან,
12/9/2022 11:10:03,მამრობითი,35-39,15-20 წელი,0 - 0.5 წელი,System Administrator,არ ვიყენებ,C++,TypeScript,Angular,Git,კი,Teamcity,არ მაქვს account,არ მაქვს account,Both (Full time + Part Time),Office -  International Projects,ქართული,ფინანსები,საქართველო,3k-4k,საქართველო,არა,300-400,10k-15k,3-3.5,ვსწავლობ/dropout -  bachelor,Desktop კომპიუტერი,Windows,16 gb,256 gb,შეიცვალოს სწავლების მეთოდი,"უნდა დავაინტერესოთ ტეწნოლოგიური განათლებით, ხოლო საიმფორმაციო ტეანოლოგოები უნდა იყოს დამხმარე საშუალებები!!!","რა არის საინფორმაციო ტექნოლოგიების დანიშნულება, საშუალება თუ მიზანი?"
12/9/2022 11:12:16,მდედრობითი,21-23,0-1 წელი,0 - 0.5 წელი,Front End Developer,არ ვიყენებ,Python,TypeScript,Angular,Git,კი,არ ვიყენებთ,0-10,არ მაქვს account,Full Time,Hybrid (Office/Remote),ქართული,ფინანსები,საქართველო,1500-1999,საქართველო,არა,160-200,4k-5k,არ უპასუხია,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,16 gb,512 gb,,,
12/9/2022 11:14:23,მამრობითი,27-29,6-9 წელი,3 წელი,Front End Developer,AWS,C++,Javascript,არც ერთს,Git,არა,არ უპასუხია,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,15k-20k,ისრაელი,კი,200-240,100k+,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,Macos,8 gb,256 gb,გადასახადები შევამციროთ IT კომპანიებისთვის,ხელფასი ვუთხრათ,
12/9/2022 11:21:56,მამრობითი,27-29,არ უპასუხია,0 - 0.5 წელი,QA Engineer,არ ვიყენებ,PHP,C#,.NET,Git,კი,Jenkins,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,არ უპასუხია,საქართველო,15k-20k,საქართველო,არა,160-200,20k-30k,არ უპასუხია,დავამთავრე -  bachelor,ლეპტოპი,Windows,16 gb,512 gb,,,
12/9/2022 11:23:49,მდედრობითი,45-49,0-1 წელი,არ ვმუშაობ,Front End Developer,არ ვიყენებ,Javascript,Javascript,React,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,არ ვარ დასაქმებული,არ უპასუხია,ქართული და ინგლისური,არ ვმუშაობ ჯერ,საქართველო,500-999,საბერძნეთი,არ უპასუხია,არ უპასუხია,300-500,არ უპასუხია,დავამთავრე -  bachelor,ლეპტოპი,Windows,8 gb,256 gb,მეტი პირადი წარმატების მაგალითების გაშუქება,ანაზღაურებით,რა დრო დასჭირდათ სწავლის დაწყებიდან პირველ დამაკმაყოფილებელ სამუშაოს შოვნამდე
12/9/2022 11:26:41,მდედრობითი,18-20,1-2 წელი,0.5 წელი - 1 წელი,Data Scientist,არ ვიყენებ,Python,SQL,არც ერთს,Git,კი,Jenkins,არ მაქვს account,0-10,Part Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,1500-1999,საქართველო,კი,0-40,1500-2000,3.9-3.99,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,8 gb,512 gb,რაც შეიძლება პატარა ასაკიდან უნდა დაიწყოს ამ სფეროს შესახებ ცნობადობის ამაღლება + ცოდნის მიღება,"საინტერესო ჩელენჯებით, გამოწვევებით, შეჯიბრრბით(თუნდაც რობოტიქსის მიმართულებით), რომელშიც ჩაერთვებიან და ვორქშოპების დახმარებით უშუალოდ დაინახავენ რა შესაძლებლონა აქვს ამ სფერს",
12/9/2022 11:34:39,მამრობითი,21-23,6-9 წელი,0.5 წელი - 1 წელი,DevOps Engineer,AWS,Bash,Bash,არც ერთს,Git,კი,AWS,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,3k-4k,საქართველო,კი,100-160,6k-7k,არ უპასუხია,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Macos,16 gb,1 tb,"ანაზღაურება, ტარგეტირება ახალ თაობაზე, ლაივ კოდინგის მოშორება გასაუბრებებზე",დავანახოთ ფინანსური და ტექნოლოგიური შესაძლებლობები,არვივი
12/9/2022 11:42:03,მდედრობითი,24-26,1-2 წელი,0 - 0.5 წელი,Front End Developer,არ ვიყენებ,Javascript,Javascript,არც ერთს,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office -  International Projects,ქართული,გემბლინგი,საქართველო,4k-5k,საქართველო,კი,200-240,4k-5k,3.8-3.9,დავამთავრე -  bachelor,Desktop კომპიუტერი,Windows,8 gb,256 gb,"პატარა ასაკიდან მაქსიმალურად პოპულარიზაცია გაეწიოს პროგრამირებას, რომ უკვე ამ ასაკიდან შეეჩვიონ ",საინტერესო პრაქტიკული გაკვეთილებით,
12/9/2022 11:46:32,მამრობითი,24-26,2-4 წელი,0 - 0.5 წელი,Back End Developer,AZURE,C#,C#,.NET Core,Git,კი,Azure DevOps,100-200,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,5k-6k,საქართველო,კი,100-160,6k-7k,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,Windows,16 gb,512 gb,,,
12/9/2022 11:58:44,მამრობითი,21-23,2-4 წელი,0 - 0.5 წელი,Back End Developer,AZURE,Java,C#,.NET Core,Git,კი,Azure DevOps,არ მაქვს account,0-10,Both (Full time + Part Time),Office -  International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,10k-15k,დიდი ბრიტანეთი ,კი,160-200,15k-20k,3.9-3.99,დავამთავრე -  bachelor,ლეპტოპი,Windows,16 gb,512 gb,,,
12/9/2022 12:09:30,მამრობითი,27-29,1-2 წელი,0.5 წელი - 1 წელი,Front End Developer,AWS,Javascript,TypeScript,React,Git,კი,Jenkins,არ მაქვს account,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,10k-15k,საქართველო,კი,200-240,10k-15k,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,32 gb,512 gb,,,
12/9/2022 12:10:46,მამრობითი,30-34,4-6 წელი,0.5 წელი - 1 წელი,Data Scientist,AWS,Python,Python,არც ერთს,Git,კი,არ ვიყენებთ,2000-5000,10-20,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,20k-30k,ამერიკის შეერთებული შტატები,კი,160-200,20k-30k,2.5-3,ვსწავლობ/dropout - PHD,ლეპტოპი,Macos,8 gb,256 gb,...,...,...
12/9/2022 12:13:43,მამრობითი,24-26,2-4 წელი,0 - 0.5 წელი,System Administrator,AZURE,C#,C#,.NET,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,1500-1999,საქართველო,კი,100-160,100k+,2.5-3,დავამთავრე -  bachelor,Desktop კომპიუტერი,Windows,16 gb,512 gb,,,
12/9/2022 12:19:44,მამრობითი,27-29,4-6 წელი,არ უპასუხია,Back End Developer,არ ვიყენებ,C#,C#,.NET Core,Git,კი,არ ვიყენებთ,არ მაქვს account,არ უპასუხია,,Office -  International Projects,არ უპასუხია,ფინანსები,საქართველო,6k-7k,საქართველო,არ უპასუხია,100-160,10k-15k,3.8-3.9,არ უპასუხია,ლეპტოპი,Windows,16 gb,256 gb,,,
12/9/2022 12:24:32,მამრობითი,24-26,2-4 წელი,1 წელი - 18 თვე,Front End Developer,არ ვიყენებ,Javascript,TypeScript,Angular,Git,არა,Jenkins,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,არ უპასუხია,საქართველო,7k-10k,ამერიკის შეერთებული შტატები,არა,100-160,10k-15k,0.5-1,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Macos,16 gb,512 gb,,,
12/9/2022 12:28:18,მამრობითი,21-23,2-4 წელი,3 წელი,Back End Developer,არ ვიყენებ,C++,PHP,არც ერთს,TFS,კი,არ ვიყენებთ,700-1000,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,4k-5k,საქართველო,არა,100-160,5k-6k,2.5-3,დავამთავრე -  bachelor,ლეპტოპი,Windows,16 gb,256 gb,,,
12/9/2022 12:37:58,მამრობითი,30-34,9-12 წელი,3 წელი,Back End Developer,AZURE,C,Java,Spring,Git,კი,Jenkins,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,4k-5k,ამერიკის შეერთებული შტატები,კი,0-40,15k-20k,2-2.5,დავამთავრე -  bachelor,Desktop კომპიუტერი,Windows,16 gb,512 gb,,,
12/9/2022 12:38:06,მდედრობითი,21-23,1-2 წელი,0 - 0.5 წელი,Front End Developer,AZURE,Javascript,TypeScript,Angular,Git,კი,Jenkins,10-100,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,5k-6k,საქართველო,კი,40-100,7k-10k,3.7-3.8,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,32 gb,512 gb,,,
12/9/2022 12:38:48,მამრობითი,27-29,6-9 წელი,3 წელი,Back End Developer,AZURE,Pascal,C#,.NET Core,Git,კი,Azure DevOps,700-1000,20-50,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,სამედიცინო სფერო,Travelling,20k-30k,ისრაელი,არა,160-200,30k-50k,1.5-2,დავამთავრე - master,ლეპტოპი,Windows,16 gb,512 gb,"ხარისხიანი სასწავლო დაწესებულებები, ყველამ არ უნდა ასწავლოს პროგრამირება.","პერსპექტივის დანახებით, მხოლოდ ფინანსური სარგებელი არ უნდა იყოს დაინტერესების მიზეზი.",
12/9/2022 12:49:09,მამრობითი,21-23,4-6 წელი,0 - 0.5 წელი,Blockchain Developer,AWS,C++,Rust,Substrate,Git,კი,Jenkins,10-100,10-20,Full Time,Remote  - International Projects,ინგლისური,ფინანსები,საქართველო,20k-30k,გერმანია,კი,100-160,20k-30k,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Linux,32 gb,1 tb,"უცხოური ინვესტიციის მოზიდვა ადგილობრივ სტარტაპებში, ტექ სფეროში სახელმწიფო გადასახადების შემცირება, როგორც ბიზნესებისთვის ისე დასაქმებულებისთვის. ","სკოლებში ადრეული ასაკიდანვე უნდა ისწავლებოდეს შედარებით ინტენსიური IT განათლების საგნები, გაკვეთილები უნდა იყოს სახალისო, შეიძლება თამაშებზე მორგებულიც კი, და არა ექსელი და ვორდის დოკუმენტების შექმნაზე ორიენტირებული",შეიძლება ეს კითხვარი stackoverflowს წლიურ გამოკითხვას დავამსგავსოთ უფრო და დავამატოთ მაგალითად რა ტექნოლოგიის ათვისება სურთ და აპირებენ დეველოპერები მომავალ წელს. ასევე მაინტერესებს რის მიხედვით ირჩევენ დეველოპერები საქართველოში vs საზღვარგარეთ მუშაობის დაწყებას
12/9/2022 13:02:22,მამრობითი,24-26,4-6 წელი,0.5 წელი - 1 წელი,QA Engineer,AWS,C++,არც ერთს,არც ერთს,SVN,კი,Jenkins,არ მაქვს account,არ მაქვს account,Full Time,არ უპასუხია,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,4k-5k,ამერიკის შეერთებული შტატები,კი,160-200,6k-7k,3-3.5,დავამთავრე - master,ლეპტოპი,Windows,16 gb,1 tb,,,
12/9/2022 13:06:26,მამრობითი,21-23,2-4 წელი,1.5 წელი - 2 წელი,ML Engineer,AWS,Java,Python,Tensorflow,Git,კი,Circle CI,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,10k-15k,ამერიკის შეერთებული შტატები,არა,100-160,15k-20k,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Windows,16 gb,256 gb,"სახელმწიფო დონეზე არ ვიცი, მაგრამ კვლევა გვჭირდება, პროგრამირება მხოლოდ ფრონტენდის და ბექ ენდის შეკვეთების კეთბა არაა, საჭიროა კვლევები საჭიროა პატარა გამოთვლითი კლასტერები სადაც დისტრიბუციულ სისტემებს, მანქანურ სწავლებას და სხვა დისციპლინების სწავლისას ექსპერიმენტებს ჩაატარებენ. მაგისტრატურაზე თუ გინდა სწავლის გაგრძელება არჩევანი ფაქტიურად არ გაქვს, არავინ არ გთავაზობს რაიმე წესიერს. ასევე არ გვაქვს წესიერი კონფერენციები. არ გვაქვს ქომუნითები რომლებიც ჩატარებენ თოლქებს და გაუზიარებენ ერთმანეთს გამოცდილებას.","მე-6 მე-7 კლასებში იმის მაგივრად რო ვორდი და ექსელი ვასწავლოთ კლასებში, ჩავუტაროთ ვორქშოფები თუნდაც ონლაინ, იმასთან დაკავშირებით თუ რა არის პროგრამირება, fun ქეისები, როგორ მუშაობს AI - ზოგადად, მაგალითად dalle-2 -ისგამოყენებით რამე დავუხატოთ და ნუ დავანახოთ რო ეგ ყველაფერი ტექნოლოგიურ საკითხებთან დაკავშირებული ხალხის გაკეთებულია და ამით მივცეთ მოტივაცია",რატომ არ გვანაღვლებს ინფორმაციული ტექნოლოგიების კვლევები საქართველოში
12/9/2022 13:08:37,მამრობითი,21-23,1-2 წელი,3 წელი,Back End Developer,AZURE,Python,C#,.NET Core,Git,კი,Azure DevOps,0-10,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,4k-5k,საქართველო,კი,160-200,4k-5k,3-3.5,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,16 gb,512 gb,,,
12/9/2022 13:10:38,მამრობითი,21-23,1-2 წელი,0.5 წელი - 1 წელი,Front End Developer,AWS,Javascript,TypeScript,React,Git,კი,არ უპასუხია,არ მაქვს account,არ მაქვს account,Full Time,Remote  - International Projects,ინგლისური,არ უპასუხია,საქართველო,7k-10k,გერმანია,კი,40-100,10k-15k,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,16 gb,256 gb,,,
12/9/2022 13:20:14,მამრობითი,21-23,2-4 წელი,1 წელი - 18 თვე,Back End Developer,AWS,C#,Java,Spring,Git,კი,Jenkins,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,5k-6k,საქართველო,კი,100-160,5k-6k,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,16 gb,256 gb,,,
12/9/2022 13:22:20,მდედრობითი,21-23,0-1 წელი,1 წელი - 18 თვე,QA Engineer,AZURE,Java,Java,არც ერთს,TFS,კი,Jenkins,არ მაქვს account,0-10,,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,1500-1999,საქართველო,კი,160-200,1500-2000,3.5-3.7,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Windows,8 gb,256 gb,,,
12/9/2022 13:25:35,მამრობითი,35-39,15-20 წელი,0.5 წელი - 1 წელი,Mobile Apps Developer,არ ვიყენებ,Javascript,Swift,UIkit,Git,კი,Jenkins,2000-5000,10-20,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,20k-30k,ამერიკის შეერთებული შტატები,კი,160-200,30k-50k,არ უპასუხია,დავამთავრე -  bachelor,ლეპტოპი,Macos,16 gb,512 gb,მეტი ინვესტიცია განათლებაში და მოქნილი გარემო სტარტაპებისთვის,,
