Timestamp,Sex,Age,Experience,FromLeargningToJobTime,Category,CloudUsage,FirstLanguage,CurrentLanguage,MainFramework,SourceControl,HasTesters,CI,StackoverflowPoints,GithubStars,WorkType,JobType,WorkingLanguage,MainEmployerCategory,PhysicalLocation,AverageMonthlyRevenueInGel,CountryWithMostRevenue,CurrentJobSatisfaction,AverageMonthlyWorkHours,DeservedSalaryOpinion,CovidSalaryInfluence,NationalSkillExamPoints,GPA,EducationLevel,LaptopDesktop,OperatingSystem,ComputerModel,RAM,Memory,InformationTechProgressActions,GainNewGenerationInterest
11/15/2021 21:25:00,მამრობითი,15-17,1-2 წელი,1 წელი - 18 თვე,Full Stack Developer,AWS,Javascript,Javascript,React,Git,კი,არ უპასუხია,100-200,0-10,Full Time,Remote  - International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,2k-3k,საქართველო,კი,100-160,3k-4k,"კი, გაიზარდა",არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,ლეპტოპი,Linux,Lenovo Ideapad,16 gb,512 gb,,
11/15/2021 21:27:24,მამრობითი,21-23,2-4 წელი,1 წელი - 18 თვე,QA Engineer,AWS,Java,Python,არც ერთს,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,4k-5k,ირლანდია,კი,40-100,4k-5k,"კი, გაიზარდა",90 - 100 %,3-3.5,დავამთავრე -  bachelor,Desktop კომპიუტერი,Linux,არ უპასუხია,16 gb,256 gb,,
11/15/2021 21:30:05,მამრობითი,15-17,2-4 წელი,0-1 წელი,Back End Developer,Digital Ocean,PHP,Go,Symfony,Git,არა,Github Actions,არ მაქვს account,0-10,Full Time,Remote  - International Projects,რუსული,ინფორმაციული ტექნოლოგიები,საქართველო,1500-1999,რუსეთი,კი,40-100,2k-3k,"კი, გაიზარდა",არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,Desktop კომპიუტერი,Linux,არ უპასუხია,32 gb,256 gb,,
11/15/2021 21:30:17,მამრობითი,27-29,6-9 წელი,1 წელი - 18 თვე,Front End Developer,GCP,C++,Javascript,React,Git,არა,Circle CI,1000-2000,100-500,Full Time,Remote  - International Projects,ინგლისური,გარემოს დაცვა,საქართველო,15k-20k,ამერიკის შეერთებული შტატები,კი,160-200,15k-20k,არ უმოქმედია,90 - 100 %,3.9-3.99,დავამთავრე -  bachelor,ლეპტოპი,Macos,MacBook Pro,16 gb,512 gb,"ფართოდ უნდა ისწავლებოდეს პროგრამირება, ინგლისური და გუგვლა , ისევე როგორც მათემატიკა",შევადაროთ სხვადასხვა სფეროს ხელფასები ჩვენსას
11/15/2021 21:30:42,მამრობითი,21-23,1-2 წელი,2-4 წელი,Full Stack Developer,AWS,Java,Java,Spring,Git,კი,Jenkins,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,5k-6k,ამერიკის შეერთებული შტატები,კი,160-200,6k-7k,"კი, გაიზარდა",90 - 100 %,2.5-3,ვსწავლობ - master,ლეპტოპი,Macos,არ უპასუხია,16 gb,256 gb,,
11/15/2021 21:31:33,მამრობითი,27-29,6-9 წელი,2-4 წელი,Back End Developer,არ ვიყენებ,C++,C#,.NET Core,Git,კი,Azure Pipelines,არ მაქვს account,არ მაქვს account,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,5k-6k,საქართველო,კი,160-200,6k-7k,არ უმოქმედია,90 - 100 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Windows,HP,16 gb,512 gb,სკოლებში უნდა დაიწყოს პროგრამირების საფუძვლების სწავლა,"უბრალოდ ჯერ უნდა ვუთხრათ რა არის და how it works,"
11/15/2021 21:32:31,მამრობითი,27-29,6-9 წელი,1 წელი - 18 თვე,Full Stack Developer,AWS,C++,Javascript,React,Git,კი,Jenkins,0-10,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ფინანსები,საქართველო,15k-20k,საქართველო,არ უპასუხია,300-400,20k-30k,"კი, გაიზარდა",70-80 %,3-3.5,ვსწავლობ - master,ლეპტოპი,Macos,MacBook Pro,16 gb,512 gb,კიდევ უფრო მეტი საერთაშირისო კომპანია და სტატტაფი საქართველოში,წარმატებული მაგალითების გაპიარებით
11/15/2021 21:36:42,მამრობითი,27-29,9-12 წელი,6 თვე - 1 წელი,Full Stack Developer,AWS,PHP,Javascript,React,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,ფინანსები,საქართველო,20k-30k,ამერიკის შეერთებული შტატები,კი,160-200,30k-50k,არ უმოქმედია,80-90 %,არ უპასუხია,მხოლოდ სკოლა,ლეპტოპი,Macos,MacBook Pro,16 gb,256 gb,,
11/15/2021 21:38:16,მამრობითი,21-23,0-1 წელი,0-3 თვე,Back End Developer,არ ვიყენებ,Python,Python,Flask,Git,კი,Jenkins,არ მაქვს account,0-10,Full Time,Remote  - International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,1000-1499,საქართველო,არა,100-160,2k-3k,"კი, გაიზარდა",80-90 %,3-3.5,ვსწავლობ -  bachelor,ლეპტოპი,Linux,არ უპასუხია,16 gb,512 gb,,
11/15/2021 21:38:22,მამრობითი,21-23,0-1 წელი,6 თვე - 1 წელი,Front End Developer,AWS,Javascript,Javascript,React,Git,არა,Teamcity,არ უპასუხია,0-10,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,1000-1499,საქართველო,არა,160-200,1500-2000,არ უმოქმედია,70-80 %,2-2.5,დავამთავრე -  bachelor,Desktop კომპიუტერი,Linux,არ უპასუხია,16 gb,512 gb,,
11/15/2021 21:39:05,მამრობითი,21-23,2-4 წელი,4-6 თვე,Front End Developer,არ ვიყენებ,Python,Javascript,Vue,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,3k-4k,საქართველო,კი,160-200,5k-6k,"კი, გაიზარდა",80-90 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,Macos,MacBook Air,8 gb,120 gb,ნაკლები გადასახადი ქართულ ტექ კომპანიებს.,
11/15/2021 21:40:18,მდედრობითი,30-34,2-4 წელი,18 თვე - 2 წელი,Full Stack Developer,AZURE,Java,Javascript,React,Git,არა,არ ვიყენებთ,არ უპასუხია,არ უპასუხია,Full Time,Office - Local Projects,ქართული,სამედიცინო სფერო,საქართველო,1500-1999,საქართველო,არა,0-40,2k-3k,არ უმოქმედია,90 - 100 %,3.5-3.7,ვსწავლობ - master,Desktop კომპიუტერი,Windows,არ უპასუხია,8 gb,256 gb,,
11/15/2021 21:40:25,მდედრობითი,24-26,2-4 წელი,0-3 თვე,QA Engineer,AWS,Python,არც ერთს,არც ერთს,არ ვიყენებთ,კი,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,4k-5k,საქართველო,კი,160-240,6k-7k,არ უმოქმედია,70-80 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Windows,Dell,32 gb,512 gb,,
11/15/2021 21:42:10,მამრობითი,18-20,0-1 წელი,4-6 თვე,Back End Developer,არ ვიყენებ,C++,C#,.NET Core,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,გემბლინგი,საქართველო,500-999,საქართველო,კი,100-160,1000-1500,არ უმოქმედია,არ უპასუხია,3.5-3.7,ვსწავლობ -  bachelor,ლეპტოპი,Windows,არ უპასუხია,16 gb,1 tb,ისწავლო უცხოური საიტებიდან,საინტერესო პროექტები შევთავაზოთ
11/15/2021 21:42:47,მამრობითი,15-17,1-2 წელი,3 წელი,Back End Developer,Digital Ocean,Javascript,PHP,React,Git,კი,Circle CI,არ მაქვს account,0-10,Full Time,Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,1000-1499,საქართველო,კი,100-160,1500-2000,არ უმოქმედია,არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,Desktop კომპიუტერი,Linux,PC,8 gb,256 gb,,ძალიან ბევრი ბუნებრივად დაინტერესებულია
11/15/2021 21:43:35,მამრობითი,30-34,12-15 წელი,3 წელი,Back End Developer,AZURE,C#,C#,.NET,Git,კი,Azure Pipelines,0-10,0-10,Full Time,Remote  - Local Projects,ქართული,გემბლინგი,საქართველო,5k-6k,საქართველო,კი,40-100,7k-10k,"კი, გაიზარდა",70-80 %,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Windows,Lenovo IdeaPad,8 gb,512 gb,გაიზარდოს განათლების დონე,მეტი ინფორმირებულობით
11/15/2021 21:43:42,მამრობითი,30-34,2-4 წელი,3 წელი,Full Stack Developer,AWS,C#,TypeScript,React,Git,კი,Bitbucket pipelines,200-400,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,20k-30k,დიდი ბრიტანეთი,კი,100-160,30k-50k,"კი, გაიზარდა",90 - 100 %,არ უპასუხია,არასრული ბაკალავრი,ლეპტოპი,Macos,MacBook Pro,8 gb,512 gb,"მეტი პოპულარიზაცია, მეტი open source ქართული პროექტები",ვაჩვენოთ რამდენ ვშოულობთ )))
11/15/2021 21:44:41,მამრობითი,21-23,1-2 წელი,6 თვე - 1 წელი,Back End Developer,არ ვიყენებ,C++,C#,.NET Core,Git,არა,არ ვიყენებთ,არ უპასუხია,0-10,Full Time,Remote  - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,1500-1999,საქართველო,არ უპასუხია,100-160,3k-4k,არ უმოქმედია,არ უპასუხია,1.5-2,ვსწავლობ -  bachelor,ლეპტოპი,Windows,არ უპასუხია,16 gb,512 gb,,
11/15/2021 21:45:41,მამრობითი,30-34,2-4 წელი,1 წელი - 18 თვე,Back End Developer,არ ვიყენებ,C#,C#,.NET Core,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,2k-3k,საქართველო,არა,160-200,4k-5k,არ უმოქმედია,80-90 %,არ უპასუხია,დავამთავრე - master,Desktop კომპიუტერი,Windows,არ უპასუხია,16 gb,512 gb,,
11/15/2021 21:46:13,მამრობითი,21-23,1-2 წელი,1 წელი - 18 თვე,Back End Developer,არ ვიყენებ,C,Python,Django,Git,არა,Jenkins,არ მაქვს account,0-10,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,უნგრეთი,7k-10k,უნგრეთი,კი,100-160,15k-20k,"კი, გაიზარდა",90 - 100 %,4,დავამთავრე -  bachelor,ლეპტოპი,Linux,HP,32 gb,1 tb,,
11/15/2021 21:46:24,მამრობითი,24-26,4-6 წელი,3 წელი,Front End Developer,არ ვიყენებ,C++,Javascript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,10k-15k,ავსტრალია,კი,100-160,10k-15k,არ უმოქმედია,80-90 %,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,Macos,MacBook Air,8 gb,256 gb,bitcamp-ში ჩაერთონ ახალგაზრდები უნივერსიტეტის ნაცვლად,მაღალი ანაზღაურებით
11/15/2021 21:46:43,მამრობითი,24-26,4-6 წელი,18 თვე - 2 წელი,Full Stack Developer,არ ვიყენებ,Javascript,C#,.NET Core,Git,არა,Github Actions,400-700,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,5k-6k,გერმანია,კი,100-160,15k-20k,"კი, გაიზარდა",90 - 100 %,4,ვსწავლობ - master,Desktop კომპიუტერი,Windows,PC,16 gb,1 tb,არაფერი,ვაჩვენოთ რას ვქმნით
11/15/2021 21:47:27,მამრობითი,30-34,6-9 წელი,4-6 წელი,Front End Developer,არ ვიყენებ,C,TypeScript,Angular,Git,კი,Circle CI,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,10k-15k,ამერიკის შეერთებული შტატები,კი,160-200,10k-15k,"კი, გაიზარდა",90 - 100 %,2-2.5,დავამთავრე - master,Desktop კომპიუტერი,Linux,HP,96 gb,2.5 tb,გაუმჯობესდეს სწავლის დონე უნივერსიტეტებში,მგონი თითონაც საკმაოდ ინტერესდებიან :D
11/15/2021 21:47:56,მდედრობითი,21-23,არ მაქვს,არ ვმუშაობ,Front End Developer,არ ვიყენებ,Javascript,Javascript,React,Git,კი,არ უპასუხია,არ მაქვს account,0-10,არ ვარ დასაქმებული,არ უპასუხია,არ უპასუხია,არ უპასუხია,საქართველო,არ უპასუხია,არ უპასუხია,არ უპასუხია,0-40,1500-2000,არ უპასუხია,80-90 %,4,ვსწავლობ - master,ლეპტოპი,Windows,არ უპასუხია,4 gb,120 gb,ჯუნიორები უნდა დაასაქმოთ კომპანიაში და არა 300 ლარად. ჩვენც გვინდა ჭამა,ოლიმპიადების ჩაატარებით სადაც ისეთი პრიზები იქნება უეჭველი მოუნდებათ სწავლა
11/15/2021 21:50:46,მდედრობითი,27-29,0-1 წელი,18 თვე - 2 წელი,ML Engineer,არ ვიყენებ,C++,Python,არც ერთს,Git,არა,არ ვიყენებთ,0-10,0-10,Part Time,Remote  - International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,500-999,საქართველო,კი,40-100,500-1000,"კი, გაიზარდა",80-90 %,1-1.5,დავამთავრე -  bachelor,ლეპტოპი,Windows,არ უპასუხია,8 gb,256 gb,,
11/15/2021 21:51:40,მამრობითი,18-20,0-1 წელი,3 წელი,Full Stack Developer,არ ვიყენებ,Javascript,Javascript,React,Git,არა,არ უპასუხია,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,გემბლინგი,საქართველო,2k-3k,უკრაინა,კი,160-240,2k-3k,"კი, გაიზარდა",70-80 %,არ უპასუხია,ვსწავლობ -  bachelor,ლეპტოპი,Windows,Lenovo Ideapad,8 gb,256 gb,უმაღლეს საგანმანათლებლო დაწესებულებში ნაკლები ყურადღება უნდა დაეთმოს ზოგად განათლებას და მეტი პროფესიულს,"გავაცნოთ შესაძლებლობები, დადებითი და უარყოფითი მხარეები და თავად გადაწყვიტონ"
11/15/2021 21:52:33,მამრობითი,24-26,4-6 წელი,1 წელი - 18 თვე,Mobile Apps Developer,არ ვიყენებ,C++,Kotlin,არც ერთს,Git,კი,Jenkins,10-100,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,7k-10k,საქართველო,კი,240-300,10k-15k,"კი, გაიზარდა",90 - 100 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,MacBook Pro,16 gb,256 gb,არ ვიზარმაცოთ,
11/15/2021 21:56:37,მამრობითი,24-26,2-4 წელი,1 წელი - 18 თვე,Back End Developer,AZURE,C++,C#,.NET Core,Git,კი,Azure Pipelines,0-10,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,5k-6k,საქართველო,არა,100-160,10k-15k,"კი, გაიზარდა",40-50 %,0-0.5,მხოლოდ სკოლა,Desktop კომპიუტერი,Linux,PC,16 gb,512 gb,,
11/15/2021 21:57:28,მამრობითი,21-23,2-4 წელი,18 თვე - 2 წელი,Back End Developer,არ ვიყენებ,Python,PHP,Laravel,Git,კი,Jenkins,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,გემბლინგი,საქართველო,5k-6k,საქართველო,კი,0-40,7k-10k,"კი, გაიზარდა",80-90 %,2.5-3,არასრული ბაკალავრი,არ უპასუხია,Macos,MacBook Pro,16 gb,512 gb,რაიონებში მცხოვრები ადამიანებისთვის უფრო ხელმისაწვდომი უნდა იყოს მინიმუმ ელექტრო ენერგია და ინტერნეტი,ჩემი აზრით სკოლაში უნდა ისწავლებოდეს ინფორმაციული ტექნოლოგიების შესავალი
11/15/2021 21:58:03,მდედრობითი,24-26,2-4 წელი,3 წელი,Data Scientist,არ ვიყენებ,C++,SQL,არც ერთს,TFS,კი,Jenkins,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,გემბლინგი,საქართველო,3k-4k,საფრანგეთი,კი,160-200,3k-4k,"კი, გაიზარდა",60-70 %,2-2.5,დავამთავრე - master,Desktop კომპიუტერი,Windows,არ უპასუხია,16 gb,512 gb,,
11/15/2021 22:00:33,მამრობითი,18-20,0-1 წელი,არ ვმუშაობ,Front End Developer,არ ვიყენებ,Javascript,Javascript,React,Git,არა,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,არ ვარ დასაქმებული,არ უპასუხია,არ უპასუხია,არ უპასუხია,საქართველო,0-299,საქართველო,არ უპასუხია,არ უპასუხია,500-1000,არ უმოქმედია,არ ჩამიბარებია,არ უპასუხია,ვსწავლობ -  bachelor,ლეპტოპი,Windows,Acer,4 gb,256 gb,მეტი სტაჟირების პროგრამები,
11/15/2021 22:01:14,მამრობითი,21-23,0-1 წელი,3 წელი,Full Stack Developer,არ ვიყენებ,C++,PHP,Laravel,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office - Local Projects,ქართული,სამედიცინო სფერო,საქართველო,1000-1499,საქართველო,კი,160-200,1500-2000,არ უმოქმედია,70-80 %,0.5-1,ვსწავლობ -  bachelor,Desktop კომპიუტერი,Windows,არ უპასუხია,32 gb,512 gb,,
11/15/2021 22:01:20,მამრობითი,27-29,4-6 წელი,3 წელი,Front End Developer,AWS,Java,Javascript,React,Git,არა,Circle CI,არ მაქვს account,არ უპასუხია,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,15k-20k,ისრაელი,კი,100-160,30k-50k,არ უმოქმედია,90 - 100 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,MacBook Pro,64 gb,2 tb,,
11/15/2021 22:04:03,მამრობითი,21-23,2-4 წელი,4-6 თვე,Front End Developer,არ ვიყენებ,C++,Javascript,React,Git,კი,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Full Time,Remote  - International Projects,ქართული,ფინანსები,საქართველო,2k-3k,ამერიკის შეერთებული შტატები,კი,40-100,6k-7k,"კი, გაიზარდა",60-70 %,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,Linux,PC,16 gb,512 gb,,
11/15/2021 22:07:34,მამრობითი,18-20,0-1 წელი,0-3 თვე,Full Stack Developer,არ ვიყენებ,C++,PHP,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Part Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,500-999,საქართველო,არა,0-40,500-1000,არ უპასუხია,არ უპასუხია,3.5-3.7,ვსწავლობ -  bachelor,ლეპტოპი,Windows,არ უპასუხია,8 gb,256 gb,,
11/15/2021 22:09:04,არ უპასუხია,24-26,4-6 წელი,1 წელი - 18 თვე,Back End Developer,AWS,C++,TypeScript,Express,Git,კი,Jenkins,0-10,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,30k-50k,ამერიკის შეერთებული შტატები,კი,100-160,30k-50k,"კი, გაიზარდა",90 - 100 %,3-3.5,დავამთავრე - master,ლეპტოპი,Macos,MacBook Pro,32 gb,512 gb,,
11/15/2021 22:12:26,მამრობითი,24-26,1-2 წელი,6 თვე - 1 წელი,Front End Developer,არ ვიყენებ,Javascript,Javascript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,არ უპასუხია,საქართველო,3k-4k,არ უპასუხია,კი,100-160,4k-5k,არ უმოქმედია,90 - 100 %,3-3.5,დავამთავრე -  bachelor,Desktop კომპიუტერი,Windows,არ უპასუხია,8 gb,1 tb,,
11/15/2021 22:14:18,მამრობითი,24-26,2-4 წელი,3 წელი,Mobile Apps Developer,არ ვიყენებ,Pascal,Kotlin,არც ერთს,Git,კი,Bitrise,0-10,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,7k-10k,საქართველო,კი,160-200,10k-15k,"კი, გაიზარდა",90 - 100 %,3.5-3.7,დავამთავრე -  bachelor,ლეპტოპი,Windows,HP ProBook,16 gb,256 gb,ინგლისური უნდა ვასწავლოთ სკოლიდანვე მაღალ დონეზე და ლოგიკური აზროვნება,
11/15/2021 22:16:24,მამრობითი,27-29,1-2 წელი,6 თვე - 1 წელი,Front End Developer,AWS,Javascript,Javascript,React,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,1500-1999,საქართველო,არა,40-100,2k-3k,არ უმოქმედია,70-80 %,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Windows,არ უპასუხია,8 gb,120 gb,იმუშაო საკუთარ პროექტებზე განვითარებისთთვის,ისედაც დაინტერესდებიან  არაა საჭირო ვიყვიროთ პროგრმაიტებს დიდი ხლეფასი აქვთ და დავაი აბა  ხალხო ვისწავლოთ ყველამ
11/15/2021 22:16:26,მამრობითი,24-26,6-9 წელი,1 წელი - 18 თვე,Full Stack Developer,Digital Ocean,PHP,TypeScript,Vue,Git,კი,Jenkins,400-700,10-20,Full Time,Remote  - International Projects,ინგლისური,ავიაცია,საქართველო,50k+,შვედეთი,კი,160-200,15k-20k,"კი, გაიზარდა",70-80 %,1-1.5,ვსწავლობ -  bachelor,ლეპტოპი,Macos,MacBook,32 gb,512 gb,მეტი საერთაშორისო კომპანიის შემოსვლა და ბაზრის განვითარება,მეტი ღობისძიებებით და საუბრით ამ სფეროს უპირატესობაზე
