index,Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,იყენებთ თუ არა cloud-ს და რომელს?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად?,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,სამუშაო ენა,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,16. ქვეყანა სადაც ფიზიკურად იმყოფებით,"ქვეყანა, საიდანაც ყველაზე მეტი შემოსავალი გაქვთ მიღებული  ბოლო ერთი წლის მანძილზე",კმაყოფილი ხართ ახლანდელი სამუშაო ადგილით?,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,"თქვენი აზრით ხელფასის რა რაოდენობა შეეფერება თქვენს ამჟამინდელ ცოდნას და გამოცდილებას (ლარებში, თვიურად)",იმოქმედა თუ არა Covid-19 პანდემიამ თქვენს შემოსავალზე?,ეროვნული გამოცდების ქულა უნარებში ,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),განათლების დონე,რომელზე მუშაობთ ძირითადად?,"ვინმეს რომ ეკითხა რა კომპიუტერზე მუშაობთო, რას უპასუხებდით?",ლეპტოპის მოდელი,რამდენი აქვს ოპერატიული მეხსიერება? (RAM),რომელი მეხსიერების ტიპი აქვს კომპიუტერს?,რამდენი აქვს მეხსიერება? ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",20. ღია კითხვა - როგორ უნდა დავაინტერესოთ მომავალი თაობა ინფორმაციული ტექნოლოგიებით,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე
11,10/7/2020 21:35:56,მეგობარმა გამომიგზავნა,მამრობითი,27-29,6-9 წელი,Full Stack Developer,არ ვიყენებ,Java,არც ერთს,Git,კი,Gitlab CI,არ უპასუხია,0-10,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,მეტ-ნაკლებად,240-300,5k-6k,არ უმოქმედია,90 - 100 %,3-3.5,დავამთავრე - master,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),256 gb,სიახლეები დავნ3რგოთ და წარმატებული ქვეყნების გამოცდილება გავიზიაროთ,სკოლაში უნდა ისწავლებოდეს,არ უპასუხია
12,10/7/2020 21:36:16,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-23,1-2 წელი,Front End Developer,არ ვიყენებ,TypeScript,Angular,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Both (Full time + Part Time),Remote  - Local Projects,ქართული,სამთავრობო ორგანიზაცია,საქართველო,საქართველო,არა,100-160,3k-4k,არ უმოქმედია,50-60 %,2.5-3,დავამთავრე -  bachelor,ლეპტოპი,Dell ,Dell,12 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
13,10/7/2020 21:42:13,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მდედრობითი,27-29,4-6 წელი,Front End Developer,არ ვიყენებ,Javascript,React,Git,კი,Gitlab CI,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,160-240,5k-6k,არ უმოქმედია,80-90 %,4,დავამთავრე -  bachelor,Desktop კომპიუტერი,Macbook Pro,Macbook,32 gb,SSD  (სწრაფი),256 gb,,,2k-3k
14,10/7/2020 22:41:09,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,0-1 წელი,Front End Developer,Digital Ocean,Javascript,Vue,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,არ უპასუხია,არ უპასუხია,არ უპასუხია,საქართველო,საქართველო,არ უპასუხია,40-100,1000-1500,"კი, შემცირდა",არ უპასუხია,არ უპასუხია,ვსწავლობ -  bachelor,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,8 gb,"ორივე (SSD, HDD)",128 gb,,,300-499
15,10/8/2020 0:51:19,JavaScript Georgia,მამრობითი,15-17,არ მაქვს,Front End Developer,არ ვიყენებ,Javascript,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,არ ვარ დასაქმებული,არ უპასუხია,ქართული,არ უპასუხია,საქართველო,საქართველო,არ უპასუხია,არ უპასუხია,2k-3k,არ უმოქმედია,ჯერ არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,Desktop კომპიუტერი,PC ,PC,8 gb,"ორივე (SSD, HDD)",256 gb,არაფერი,უკვე დაინტერესებულნი არიან,არ უპასუხია
16,10/7/2020 21:45:48,JavaScript Georgia,მამრობითი,24-26,4-6 წელი,Full Stack Developer,AWS,TypeScript,React,Git,არა,Circle CI,100-200,10-20,არ ვარ დასაქმებული,Office - Local Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-240,4k-5k,"კი, გაიზარდა",80-90 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macbook Pro,Macbook,32 gb,SSD  (სწრაფი),1 tb,,,4k-5k
17,10/8/2020 10:59:24,Linkedin-ზე,მამრობითი,27-29,1-2 წელი,ML Engineer,AWS,Python,არც ერთს,Git,არა,Travis,2000-5000,10-20,Both (Full time + Part Time),არ უპასუხია,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,240-300,7k-10k,"კი, გაიზარდა",50-60 %,2.5-3,ვსწავლობ - PHD,ლეპტოპი,Acer ,Acer,8 gb,SSD  (სწრაფი),256 gb,,,3k-4k
18,10/8/2020 11:19:15,Facebook,მამრობითი,18-20,არ მაქვს,Mobile Apps Developer,არ ვიყენებ,არც ერთს,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,20-50,არ ვარ დასაქმებული,არ უპასუხია,ქართული,არ უპასუხია,საქართველო,საქართველო,არ უპასუხია,არ უპასუხია,არ უპასუხია,არ უმოქმედია,ჯერ არ ჩამიბარებია,არ უპასუხია,არ უპასუხია,ლეპტოპი,Acer ,Acer,4 gb,HDD (ნელი),512 gb,,,არ უპასუხია
19,10/7/2020 21:55:20,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Back End Developer,AWS,C#,.NET Core,Git,კი,Jenkins,700-1000,10-20,Full Time,Remote  - Local Projects,არ უპასუხია,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-200,15k-20k,არ უმოქმედია,70-80 %,2.5-3,ვსწავლობ - PHD,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),512 gb,"მეტი სასწავლო ცენტრი, მეტი ლექტორი სამუშაო გამოცდილებით სოფტვეარ დეველოპმენტში",,7k-10k
20,10/7/2020 21:59:26,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Support Specialist,არ ვიყენებ,არც ერთს,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,არ მაქვს account,0-10,Both (Full time + Part Time),Office - Local Projects,ქართული,სამთავრობო ორგანიზაცია,საქართველო,საქართველო,კი,0-40,1000-1500,არ უმოქმედია,50-60 %,3-3.5,ვსწავლობ - PHD,ლეპტოპი,Surface Pro,Surface,32 gb,SSD  (სწრაფი),512 gb,"განათლება უფასო უნდა გახდეს, მეტი ხელშეწყობა სტუდენტებს.",ტექნოლოგიები ჩვენს ცხოვრებაში მნიშვნელოვან როლს ატარებენ და აუცილებელია რაღაც დოზით შეგვეძლოს მათთან ურთიერთობა.,არ უპასუხია
21,10/7/2020 22:02:23,JavaScript Georgia,მამრობითი,18-20,0-1 წელი,Full Stack Developer,AWS,Javascript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,არა,0-40,4k-5k,არ უმოქმედია,80-90 %,2.5-3,ვსწავლობ -  bachelor,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),1 tb,,,2k-3k
22,10/7/2020 22:05:15,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Full Stack Developer,Digital Ocean,Javascript,React,Git,არა,Circle CI,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-240,6k-7k,არ უმოქმედია,80-90 %,1-1.5,დავამთავრე -  bachelor,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,პლაგიატობას უნდა შევეშვათ ,,4k-5k
23,10/7/2020 22:06:44,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Front End Developer,არ ვიყენებ,Javascript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,ავსტრალია,კი,0-40,3k-4k,არ უმოქმედია,70-80 %,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,Macbook Air ,Macbook,4 gb,HDD (ნელი),128 gb,მეტი დაინტერესება დამწყები კადრების მიმართ (მადლობა BitCamp-ს ;დ),ხელფასი ვუთხრათ რამდენი გვაქ,7k-10k
24,10/7/2020 22:10:52,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-29,4-6 წელი,Back End Developer,არ ვიყენებ,Java,Spring,Git,კი,Jenkins,10-100,0-10,Full Time,Remote  - International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,საქართველო,არ უპასუხია,160-200,10k-15k,არ უმოქმედია,80-90 %,2.5-3,დავამთავრე - master,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),1 tb,,,7k-10k
25,10/7/2020 22:11:17,Linkedin-ზე,მამრობითი,27-29,1-2 წელი,Full Stack Developer,არ ვიყენებ,C#,.NET Core,Git,არა,არ ვიყენებთ,0-10,0-10,Full Time,Remote  - International Projects,ინგლისური,გემბლინგი,საქართველო,ფინეთი,კი,100-160,2k-3k,"კი, შემცირდა",90 - 100 %,1-1.5,დავამთავრე -  bachelor,ლეპტოპი,HP Pavilion,HP,16 gb,"ორივე (SSD, HDD)",256 gb,"აუცილებელია სკოლის დამამთავრებელი კლასის მოსწავლეების დაინტერესების გაზრდა ამ მიმართულებით. უნდა მოხდეს იმ მითის დამსხვრება, რომ ინფორმაციული ტექნოლოგიები მხოლოდ ე.წ. ""ბოტანების"" საქმეა. უდნა მოხდეს ამ სფეროს მრავალფეროვნების წარმოჩენა. ამ სფეროში შემოსასვლელი გზა არ უნდა იყოს ბუნდოვანი. შესაბამისად რაც მეტი იქნება დასაქმებული მეტი იქნება კონკურენცია, რაც თავისთავად გაზრდის საშუალო ცოდნის დონეს და ბუნებრივად მოხდება უფრო დიდი პროექტების შექმნა ან უცხეოთიდან მოზიდვა. Community-ს გაზრდა მნიშნვნელოვანია. თქვენ კარგ საქმეს აკეთებთ.","პირველ რიგში მომავალმა თაობას უნდა დავანახოთ, რომ ეს სფერო მრავალფეროვანია და საკუთარი თავის რეალიზაციას აქ შეძლებს ნებისმიერი ინტერესის ადამიანი. მეორე ის, რომ ეს სფერო მაღალშემოსავლიანია.",1000-1499
26,10/7/2020 22:13:00,Linkedin-ზე,მამრობითი,24-26,0-1 წელი,Back End Developer,AZURE,C#,.NET Core,TFS,კი,Azure Devops,100-200,0-10,Full Time,Remote  - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-240,1500-2000,არ უმოქმედია,50-60 %,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,HP Pavilion,HP,8 gb,SSD  (სწრაფი),256 gb,"რთული კითხვაა, არ მიფიქრია საკმარისად.",...,500-999
27,10/7/2020 22:20:01,Linkedin-ზე,მამრობითი,21-23,0-1 წელი,Front End Developer,არ ვიყენებ,Javascript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Part Time,Remote  - Local Projects,ქართული,სამედიცინო სფერო,საქართველო,საქართველო,კი,40-100,1500-2000,"კი, შემცირდა",60-70 %,3-3.5,ვსწავლობ - master,ლეპტოპი,Acer Aspire,Acer,16 gb,SSD  (სწრაფი),512 gb,,,500-999
28,10/7/2020 22:22:30,მეგობარმა გამომიგზავნა,მამრობითი,24-26,4-6 წელი,არ უპასუხია,არ უპასუხია,Python,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Both (Full time + Part Time),არ უპასუხია,ინგლისური,არ უპასუხია,საქართველო,საქართველო,კი,160-200,1000-1500,"კი, შემცირდა",70-80 %,3.7-3.8,დავამთავრე -  bachelor,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,4 gb,HDD (ნელი),512 gb,,,3k-4k
29,10/7/2020 22:28:55,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,2-4 წელი,Front End Developer,არ ვიყენებ,Javascript,React,Git,არა,Jenkins,0-10,10-20,Both (Full time + Part Time),Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,160-200,4k-5k,არ უმოქმედია,80-90 %,1.5-2,ვსწავლობ -  bachelor,Desktop კომპიუტერი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,მაქსიმუმზე ვართ.,არ დავაძალოთ.,3k-4k
30,10/7/2020 22:49:57,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,15-17,1-2 წელი,DevOps Engineer,AWS,C/C++,Django,Git,არა,Jenkins,100-200,20-50,არ ვარ დასაქმებული,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,ამერიკის შეერთებული შტატები,კი,0-40,500-1000,არ უმოქმედია,ჯერ არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,Desktop კომპიუტერი,Macbook Pro,Macbook,8 gb,SSD  (სწრაფი),512 gb,,,300-499
31,10/8/2020 22:15:37,JavaScript Georgia,მამრობითი,18-20,2-4 წელი,System Administrator,AZURE,C/C++,.NET,Git,არა,Circle CI,არ მაქვს account,1000-3000,Part Time,Office - Local Projects,ქართული,სამედიცინო სფერო,საქართველო,საქართველო,კი,40-100,1000-1500,"კი, შემცირდა",90 - 100 %,არ უპასუხია,მხოლოდ სკოლა,ლეპტოპი,Acer ,Acer,8 gb,SSD  (სწრაფი),512 gb,სტარტაპების ხელის შეწყობა.,სკოლის პერიოდში ამ პროფესიის გაცნობა,1000-1499
32,10/14/2020 0:38:07,"ჯგუფ - ""Tech Jobs Georgia""-ში",მამრობითი,18-20,0-1 წელი,Front End Developer,Google Cloud Platform,Javascript,React,Git,კი,Circle CI,არ მაქვს account,არ მაქვს account,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,ამერიკის შეერთებული შტატები,კი,240-300,არ უპასუხია,"კი, გაიზარდა",70-80 %,0-0.5,ვსწავლობ -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),512 gb,,,არ უპასუხია
33,10/7/2020 22:48:15,Linkedin-ზე,მამრობითი,24-26,2-4 წელი,Back End Developer,AWS,C#,.NET Core,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Both (Full time + Part Time),არ უპასუხია,ინგლისური,ფინანსები,საქართველო,საქართველო,კი,160-200,7k-10k,"კი, გაიზარდა",70-80 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,8 gb,"ორივე (SSD, HDD)",1 tb,,,6k-7k
34,10/7/2020 23:15:00,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,0-14,0-1 წელი,Front End Developer,არ ვიყენებ,Javascript,არც ერთს,არ ვიყენებთ,არა,არ ვიყენებთ,10-100,0-10,არ ვარ დასაქმებული,Remote  - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,არა,0-40,500-1000,არ უმოქმედია,ჯერ არ ჩამიბარებია,არ უპასუხია,მხოლოდ სკოლა,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,4 gb,SSD  (სწრაფი),512 gb,,მეტი დრო უნდა დაეთმოს ინფორმაციული ტექნოლოგიების საფუძვლების შესწავლას სკოლებში,300-499
35,10/7/2020 22:52:29,მეგობარმა გამომიგზავნა,მამრობითი,24-26,6-9 წელი,Front End Developer,არ ვიყენებ,TypeScript,Angular,Git,კი,Jenkins,400-700,0-10,არ უპასუხია,Office -  International Projects,ინგლისური,გემბლინგი,საქართველო,საქართველო,მეტ-ნაკლებად,160-240,15k-20k,არ უმოქმედია,80-90 %,1.5-2,ვსწავლობ - master,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,მეტი შეხვედრები და ცოდნის გაზიარება.,მეტი შეხვედრებით და ჩვენ საქმიანობაზე მეტი ინფორმაციის მიწოდებით.,7k-10k
36,10/7/2020 22:54:10,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-26,6-9 წელი,Full Stack Developer,AWS,Javascript,Angular,Git,არა,Jenkins,10-100,0-10,Full Time,Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,საქართველო,კი,160-240,7k-10k,არ უმოქმედია,80-90 %,2-2.5,ვსწავლობ - master,Desktop კომპიუტერი,Macbook Pro,Macbook,32 gb,SSD  (სწრაფი),1 tb,,,6k-7k
37,10/7/2020 22:54:28,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-20,0-1 წელი,QA Engineer,AWS,Python,არც ერთს,Git,არ უპასუხია,არ უპასუხია,არ უპასუხია,არ უპასუხია,Both (Full time + Part Time),Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-240,3k-4k,"კი, გაიზარდა",80-90 %,2.5-3,ვსწავლობ -  bachelor,ორივე,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,,"უფრო მეტი შეხვედრა უნდა ჩატარდეს სადაც ზოგადად გაეცნობიან პროფესიას, ასევე შეჯიბრები.",3k-4k
